,Company,Location_HQ,Industry,Percentage,Date,Source,Funds_Raised,Stage,Date_Added,Country,Census Count,List_of_Employees_Laid_Off
0,IRL,SF Bay Area,Consumer,1.0,23-06-2023,https://www.theinformation.com/articles/social-app-irl-which-raised-200-million-shuts-down-after-ceo-misconduct-probe,197.0,Series C,25-06-2023 23:04,United States,,Unknown
1,Retool,SF Bay Area,Other,0.09,22-06-2023,Internal memo,141.0,Series C,22-06-2023 14:23,United States,,Unknown
2,Anaplan,SF Bay Area,Other,0.1675,21-06-2023,https://nypost.com/2023/06/23/software-giant-anaplan-begins-layoffs-after-thoma-bravos-10-4b-buyout-deal/,300.0,Acquired,24-06-2023 03:48,United States,300.0,Unknown
3,Uber,SF Bay Area,Transportation,0.24500000000000002,21-06-2023,https://www.nasdaq.com/articles/uber-to-lay-off-200-employees-in-recruitment-division,25200.0,Post-IPO,22-06-2023 00:19,United States,200.0,Unknown
4,Tackle.io,Boise,Infrastructure,0.3225,21-06-2023,https://tackle.io/blog/tackle-company-update/,148.0,Series C,23-06-2023 15:38,United States,75.0,Unknown
5,Ritual,Toronto,Food,0.4,21-06-2023,https://www.theglobeandmail.com/business/article-food-ordering-service-ritual-lays-off-nearly-half-of-employees/,134.0,Series C,24-06-2023 20:53,Canada,38.0,Unknown
6,Friday Health Plans,Alamosa,Healthcare,0.255,21-06-2023,https://www.bizjournals.com/denver/news/2023/06/21/friday-health-plans-layoffs-colorado-insurance.html,306.0,Private Equity,22-06-2023 00:18,United States,519.0,Unknown
7,Grab,Singapore,Transportation,0.11,20-06-2023,https://www.reuters.com/technology/singapores-grab-informs-staff-1000-layoffs-2023-06-20/,16500.0,Post-IPO,20-06-2023 15:56,Singapore,1000.0,Unknown
8,OLX Group,Amsterdam,Marketing,0.555,20-06-2023,https://techcrunch.com/2023/06/20/olx-group-layoffs/,8256.5,Acquired,20-06-2023 16:18,Netherlands,800.0,Unknown
9,Karakuki,London,Food,1.0,20-06-2023,https://www.therobotreport.com/food-robotics-startup-karakuri-shutting-down/,13.0,Unknown,22-06-2023 00:19,United Kingdom,424.0,Unknown
